Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
TF_targets	OCT_Q6	257	12	0.000956355	0.029620433	ADORA1:HIST1H2BB:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2AG:HIST1H2AH:HIST1H2AI:HIST1H2AJ:HIST1H2BM:HIST1H2AK:HIST1H2AL:HIST1H2AM:ITPR3:PMEL:CDK2:CSF3:THRA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OCT_Q6
TF_targets	GCTNWTTGK_UNKNOWN	295	13	0.001013639	0.030174027	RERE:IL4:SCUBE3:ITGB8:ABCB5:IL6:C11orf30:RAB5B:SMAD3:PPP1R1B:ERBB2:NAGLU:SPATA32	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GCTNWTTGK_UNKNOWN
TF_targets	ZSCAN2_TARGET_GENES	790	25	0.001028353	0.030174027	GLB1:TMPPE:ACSL6:SEPT8:LRRC16A:HIST1H2BB:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2AD:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2BL:HIST1H2AJ:HIST1H2BM:HIST1H1B:ZKSCAN3:ALG2:SEC61B:STAT6:RAD51B:SMAD3:NKD1:GRB7:NR1D1:RAPGEFL1:RARA:COASY:XPNPEP3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZSCAN2_TARGET_GENES
TF_targets	PEA3_Q6	260	12	0.001056748	0.030212149	RUNX3:ADAMTS4:NDUFS2:PTPRC:ITPKB:IL2RA:GATA3:ZNF365:TMEM258:FEN1:CTSW:LAYN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PEA3_Q6
TF_targets	OCT1_01	261	12	0.001092098	0.03044223	POU2F1:HIST1H2BB:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2AJ:HIST1H2BM:ITPR3:PMEL:CDK2:CSF3:THRA:ACBD4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OCT1_01
TF_targets	OCT1_Q5_01	264	12	0.001204092	0.030747207	ADORA1:HIST1H2BB:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2AG:HIST1H2AH:HIST1H2AI:HIST1H2AJ:HIST1H2BM:HIST1H2AK:HIST1H2AL:HIST1H2AM:PMEL:CDK2:CSF3:THRA:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OCT1_Q5_01
TF_targets	GATA2_01	102	7	0.001279933	0.030747207	PDLIM4:TMEM196:GATA3:LRP1:PLXNC1:SYMPK:FOXA3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA2_01
TF_targets	GR_01	196	10	0.00129235	0.030747207	RERE:CD52:HIVEP1:ITPR3:GATA3:RP11-574K11.31:NDST2:TMEM258:FEN1:GSDMA:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GR_01
TF_targets	LHX2_TARGET_GENES	1269	35	0.001292641	0.030747207	KIF1B:FLG-AS1:POU2F1:ADORA1:CCDC66:LPP:WDR36:C5orf52:ABT1:WDR46:CUTA:ATG5:ZC3H12D:ZER1:ZSWIM8:TMEM258:FEN1:FADS2:STAT6:LRP1:SETD8:AAGAB:IQCH:CDK12:PGAP3:ERBB2:DCAKD:NMT1:ACBD4:PHB:UNK:SIX5:ZNF217:L3MBTL2:TEF	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LHX2_TARGET_GENES
TF_targets	GGGTGGRR_PAX4_03	1270	35	0.001309989	0.030747207	RUNX3:S100A10:POU2F1:ITPKB:RP11-617D20.1:KLF3:IRF1:PHF1:BACH2:SESN1:IL6:CFL1:C11orf30:SIK2:STAT6:LRP1:CDK2AP1:RAD51B:CHP1:RORA:CDK12:NEUROD2:GRB7:GSDMA:THRA:NR1D1:RAPGEFL1:PTRF:HSD17B1:DCAKD:NMT1:SERPINB7:DMPK:TOB2:SEPT3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GGGTGGRR_PAX4_03
TF_targets	MYBL1_TARGET_GENES	420	16	0.001316774	0.030747207	CCDC66:POM121L2:ZKSCAN3:KIFC1:SYNGAP1:ALG2:SEC61B:TMEM258:FEN1:FADS2:HDAC7:PMEL:RAB5B:SPPL3:C18orf54:TOB2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MYBL1_TARGET_GENES
TF_targets	AML1_Q6	267	12	0.001325443	0.030747207	KIF1B:RORC:ADAMTS4:POU2F1:TNFSF4:BATF3:RASGEF1A:CYP17A1:AP5B1:C11orf30:RAB5B:PLXNC1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/AML1_Q6
TF_targets	AML1_01	267	12	0.001325443	0.030747207	KIF1B:RORC:ADAMTS4:POU2F1:TNFSF4:BATF3:RASGEF1A:CYP17A1:AP5B1:C11orf30:RAB5B:PLXNC1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/AML1_01
TF_targets	RYTTCCTG_ETS2_B	1082	31	0.001351223	0.030747207	RUNX3:DARC:ADAMTS4:NDUFS2:TNFSF4:PTPRC:IL18RAP:RUVBL1:IL7R:CSF2:SOX30:HFE:ITPR3:DEF6:HIVEP2:PKN3:GATA3:CTSW:LAYN:RORA:SMAD3:ADAMTSL3:FURIN:CDK12:GRB7:NR1D1:RARA:STAT5B:TNFRSF6B:XPNPEP3:L3MBTL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/RYTTCCTG_ETS2_B
TF_targets	CAGGTA_AREB6_01	765	24	0.001446586	0.030991808	S100A10:DARC:ADAMTS4:NDUFS2:ITPKB:CSF2:PDLIM4:HIVEP1:HIST1H2BB:HIST1H2AD:CUTA:ITPR3:HIVEP2:ITGB8:ZER1:ZSWIM8:MYRF:OVOL1:C12orf65:CDK2AP1:CSF3:NR1D1:RAPGEFL1:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CAGGTA_AREB6_01
TF_targets	TFIII_Q6	199	10	0.001447706	0.030991808	RORC:POU2F1:GATA3:RAB5B:LRP1:PLXNC1:CDK12:THRA:PSMC3IP:SIX5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TFIII_Q6
TF_targets	AACTTT_UNKNOWN	1873	47	0.001462119	0.030991808	CLIC4:SH3BGRL3:SNX27:POU2F1:IL18R1:PLCL1:UBE2E2:MECOM:TLR1:IL21:SLC22A5:IRF1:ZNF322:MLN:SCUBE3:SESN1:SCAF8:TMEM196:ABCB5:JAZF1:GLDC:NEK6:ARL3:MRVI1:C11orf30:LRP1:PLXNC1:MLEC:CDK2AP1:SETD8:RILPL2:CHP1:RORA:ADAMTSL3:NKD1:CDK12:PPP1R1B:ERBB2:IKZF3:CSF3:NR1D1:DCAKD:NMT1:SIX5:RANGAP1:TEF:TOB2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/AACTTT_UNKNOWN
TF_targets	ZNF175_TARGET_GENES	722	23	0.001484271	0.030991808	AIM1L:CTA-134P22.2:NDUFS2:UBE2E2:GLB1:TMPPE:ZBTB38:TLR1:ACSL6:ZSCAN31:WDR46:LEMD2:AHI1:CFL1:MUS81:SETD8:CASC5:OIP5-AS1:CLEC16A:STAT5B:NAGLU:PHB:ZNF217:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF175_TARGET_GENES
TF_targets	ZNF416_TARGET_GENES	4	2	0.001500949	0.030991808	XXbac-BPG308K3.6:STAT6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF416_TARGET_GENES
TF_targets	NFE2L1_TARGET_GENES	1677	43	0.00155578	0.031539907	SH3BGRL3:FLG-AS1:HSPE1-MOB4:MOB4:CCDC66:ZBTB38:GNPDA1:ABT1:ZSCAN31:ITPR3:BACH2:SESN1:CEP57L1:AHI1:LINC00271:IL6:CYC1:KDM4C:ALG2:SEC61B:PSMB7:DDX6:PMEL:RAB5B:MLEC:SBNO1:INO80:CHP1:OIP5:NUSAP1:MED1:PSMD3:NAGLU:COASY:FAM134C:DCAKD:NMT1:HEXIM1:RTEL1:XPNPEP3:RBX1:ACO2:DESI1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NFE2L1_TARGET_GENES
TF_targets	ZNF322_TARGET_GENES	819	25	0.001683715	0.033307896	CGN:SNX27:HSPD1:HSPE1-MOB4:MOB4:SLC22A5:KIF3A:XXbac-BPG308K3.6:WDR46:ATG5:IL6:CFL1:MUS81:CDK12:NEUROD2:RARA:COASY:DCAKD:NMT1:TRIM65:SYMPK:ZNF217:ARFRP1:ZGPAT:PMM1:CCDC134	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF322_TARGET_GENES
TF_targets	ZNF592_TARGET_GENES	1685	43	0.001702736	0.033307896	RERE:PEX14:UBXN11:AIM1L:SNX27:RORC:FAM208A:ZBTB38:WDR36:RAD50:HFE:ZSCAN31:XXbac-BPG308K3.6:KIFC1:LEMD2:ZNF76:DEF6:IL6:CYC1:RP11-574K11.31:NDST2:TMEM258:FEN1:FADS2:RAB3IL1:CTSF:STAT6:SBNO1:CASC5:CHP1:RMI2:PNMT:IKZF3:WIPF2:NAGLU:COASY:FAM171A2:DCAKD:NMT1:ACBD4:HEXIM1:TRIM47:ARFRP1:ZGPAT	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF592_TARGET_GENES
TF_targets	GATA3_01	240	11	0.001782051	0.034258401	POU2F1:IL1RL1:IL13:SCUBE3:TMEM196:MYRF:LRP1:MLEC:RTF1:RORA:ERBB2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GATA3_01
TF_targets	ZNF394_TARGET_GENES	964	28	0.001878524	0.035500913	RERE:CEP85:TNFAIP8:HIST1H2BC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:LINC00240:SYNGAP1:ITGB8:JAZF1-AS1:ZDHHC12:CFL1:PPP2R1B:STAT6:RCOR1:CHP1:ITPKA:LTK:RORA:AAGAB:IQCH:PSMD3:RAPGEFL1:NAGLU:HEXIM1:TRIM65:POLI:ARFRP1:ZGPAT:PMM1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF394_TARGET_GENES
TF_targets	ZSCAN5DP_TARGET_GENES	1348	36	0.001915538	0.035597087	RERE:TMEM232:WDR36:GNPDA1:ABT1:OR2B2:XXbac-BPG308K3.6:SHARPIN:MAF1:GLDC:KDM4C:NEK6:ZDHHC12:RP11-545E17.3:CFL1:ACTN3:PMEL:RAB5B:LRP1:SPPL3:ABCB9:SETD8:RILPL2:RCOR1:CASC5:SMAD3:CLEC16A:IKZF3:ORMDL3:COASY:MLX:UNK:SYMPK:FOXA3:RTEL1:XPNPEP3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZSCAN5DP_TARGET_GENES
TF_targets	ARID5B_TARGET_GENES	829	25	0.001980749	0.036205486	CLIC4:PTPRC:CCDC66:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:PHF1:ZNF76:THEMIS:AHI1:KIAA2026:RP11-574K11.31:NDST2:PRKRIR:HDAC7:SPPL3:INO80:SMAD3:NKD1:ORMDL3:NR1D1:MSL1:RARA:DCAKD:NMT1:PHB:RTEL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ARID5B_TARGET_GENES
TF_targets	ZNF513_TARGET_GENES	695	22	0.002018796	0.036305774	CLIC4:SNX27:ADORA1:IL18R1:CCDC66:LPP:TMEM232:LRRC16A:RGL2:SCUBE3:GLDC:PRKRIR:ABCB9:ARL6IP4:RCOR1:INO80:IL21R:TCAP:RARA:PLCD3:HEXIM1:POLI	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF513_TARGET_GENES
TF_targets	ZNF92_TARGET_GENES	1266	34	0.002328767	0.040934976	RERE:PEX14:ADORA1:EEFSEC:LPP:IL7R:CSF2:PDLIM4:SLC22A5:KIF3A:RGL2:NEK6:ZDHHC12:RP11-545E17.3:RAB3IL1:OVOL1:CFL1:ACTN3:STAT6:ABCB9:RILPL2:SMAD3:FURIN:IL21R:NKD1:GRB7:WIPF2:COASY:ITGA2B:NMT1:SLC7A10:SYMPK:FOXA3:RBX1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF92_TARGET_GENES
TF_targets	PRKDC_TARGET_GENES	794	24	0.002349631	0.040934976	KIF1B:ADAMTS4:NDUFS2:SRGAP2:PLCL1:RUVBL1:ZBTB38:PDLIM4:SESN1:AHI1:SHARPIN:MAF1:NEK6:ZDHHC12:SNX32:ACTN3:PMEL:RAB5B:C12orf65:SETD8:OIP5-AS1:DCAKD:NMT1:DMPK	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/PRKDC_TARGET_GENES
TF_targets	HOXC6_TARGET_GENES	1077	30	0.002450471	0.041463773	RERE:CLIC4:SH3BGRL3:TMEM232:RAD50:KIF3A:CCNI2:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:RGL2:CUTA:SYNGAP1:ZC3H12D:SHARPIN:MAF1:KDM4C:PSMB7:ZDHHC12:RP11-545E17.3:CFL1:MUS81:RAD51:CHP1:OIP5:NUSAP1:AAGAB:IQCH:MAP3K14-AS1:DESI1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HOXC6_TARGET_GENES
TF_targets	ZNF197_TARGET_GENES	574	19	0.002454358	0.041463773	AIM1L:CTA-134P22.2:UBE2E2:POGLUT1:ZBTB38:ZSCAN31:LEMD2:AHI1:KDM4C:NEK6:CFL1:MUS81:CLEC16A:STAT5B:NAGLU:PHB:UNK:RANGAP1:DESI1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF197_TARGET_GENES
TF_targets	ZNF318_TARGET_GENES	986	28	0.002587388	0.042643314	RERE:CLIC4:CEP85:LINC00299:ZBTB38:WDR36:SEPT8:HIST1H2AC:BTN3A3:ABT1:SYNGAP1:LEMD2:AHI1:TNFAIP3:ZSWIM8:CFL1:MUS81:STAT6:ABCB9:RCOR1:CASC5:INO80:RMI2:CDK12:NAGLU:BCL2:SIX5:XPNPEP3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF318_TARGET_GENES
TF_targets	NFXL1_TARGET_GENES	409	15	0.002647903	0.042643314	SEPT8:HIST1H2AD:HIST1H2AG:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H2AK:HIST1H2AL:HIST1H1B:HIST1H2AM:HIVEP2:ACTN3:CRYAB:ABCB9:IL21R:RAPGEFL1:RARA:COASY:HEXIM1:ZNF217	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NFXL1_TARGET_GENES
TF_targets	TTCNRGNNNNTTC_HSF_Q6	148	8	0.002706851	0.042643314	HSPD1:MECOM:TNFAIP8:MYRF:CRYAB:RORA:XPNPEP3:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TTCNRGNNNNTTC_HSF_Q6
TF_targets	TGCGCANK_UNKNOWN	536	18	0.002712054	0.042643314	CEP85:POU2F1:SENP7:KIF3A:PHF1:RASGEF1A:ARL3:PRKRIR:LRP1:ARL6IP4:C12orf65:THRA:NR1D1:PTRF:FAM134C:POLI:TEF:TOB2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TGCGCANK_UNKNOWN
TF_targets	LBP1_Q6	217	10	0.002728897	0.042643314	KIF1B:RUNX3:SH3BGRL3:RORC:GATA3:RASGEF1A:ACTN3:RAB5B:ABCB9:OGFOD2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LBP1_Q6
TF_targets	NKX2_2_TARGET_GENES	1182	32	0.002753649	0.042643314	CEP85:HSPD1:POGLUT1:TMEM232:SLC25A46:SLC22A5:NDFIP1:BTN3A3:HIST1H2BL:SESN1:CEP57L1:ZC3H12D:KIAA2026:KDM4C:PSMB7:PPP2R1B:STAT6:RAD51:INO80:CHP1:AAGAB:PGAP3:ERBB2:ORMDL3:NAGLU:PSMC3IP:DCAKD:NMT1:UNK:SYMPK:FOXA3:RANGAP1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NKX2_2_TARGET_GENES
TF_targets	FAC1_01	218	10	0.002820491	0.043080096	CADM3:ITGB8:SHARPIN:MAF1:C11orf30:SPPL3:NKD1:FBXL20:NEUROD2:IKZF3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/FAC1_01
TF_targets	NRF1_Q6	256	11	0.002937835	0.043780026	POU2F1:SENP7:PHF1:KDM4C:CFL1:PRKRIR:LRP1:C12orf65:UBAC2:RTF1:FAM134C	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NRF1_Q6
TF_targets	NR0B1_TARGET_GENES	333	13	0.002944845	0.043780026	RERE:RUVBL1:ZBTB38:TNFAIP3:SHARPIN:MAF1:SIK2:RCOR1:SMAD3:PSMD3:RARA:FAM171A2:ZNF217	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NR0B1_TARGET_GENES
TF_targets	TGGNNNNNNKCCAR_UNKNOWN	416	15	0.003104289	0.044589056	RERE:KIF1B:RORC:LINC00299:IL6:MRVI1:FADS3:OVOL1:CRYAB:CDK2AP1:CHP1:NEUROD2:STARD3:STAT5B:PTRF	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/TGGNNNNNNKCCAR_UNKNOWN
TF_targets	SETD7_TARGET_GENES	858	25	0.003108022	0.044589056	POU2F1:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2AD:HIST1H2BF:HIST1H2BG:HIST1H2BI:HIST1H2AG:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H2AJ:HIST1H2BM:HIST1H2AK:HIST1H2AL:HIST1H1B:HIST1H2AM:B3GALT4:CFL1:SUOX:MPHOSPH9:C12orf65:UBAC2:INO80:OIP5-AS1:KDM8:HSD17B1:HEXIM1:MAP3K14-AS1:SPATA32:TRIM65:KLF2:SIX5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SETD7_TARGET_GENES
TF_targets	POU2AF1_TARGET_GENES	766	23	0.003119234	0.044589056	CLIC4:POU2F1:RUVBL1:CYFIP2:HIST1H3A:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H2BG:HIST1H3E:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H2AG:HIST1H2AH:HIST1H2AI:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H3J:HIST1H2AM:HIVEP2:ZC3H12D:FADS3:ACTN3:TMEM194A:NMT1:ACBD4:HEXIM1:SMAD4:ACO2:DESI1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/POU2AF1_TARGET_GENES
TF_targets	LEF1_Q2	222	10	0.003211733	0.045330159	RERE:RUNX3:AIM1L:CGN:ARL3:MRVI1:SYT13:AP5B1:OVOL1:PRKRIR	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LEF1_Q2
TF_targets	OCT1_Q6	260	11	0.003305222	0.046066537	ADORA1:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H2BF:HIST1H2BG:HIST1H2BI:ITPR3:SIK2:PMEL:CDK2:NEUROD2:CSF3:THRA:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OCT1_Q6
TF_targets	FREAC2_01	261	11	0.0034026	0.046219093	MECOM:RP11-617D20.1:KLF3:SCUBE3:SCAF8:UHRF2:MRVI1:TSPAN8:RORA:THRA:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/FREAC2_01
TF_targets	EGR2_01	188	9	0.003408473	0.046219093	RERE:ITGB8:CFL1:PLXNC1:ITPKA:FBXL20:PPP1R1B:THRA:RAPGEFL1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/EGR2_01
TF_targets	CTCNANGTGNY_UNKNOWN	91	6	0.003440524	0.046219093	RUNX3:CYFIP2:HDAC7:IKZF3:NR1D1:TEF	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CTCNANGTGNY_UNKNOWN
TF_targets	ETS1_B	262	11	0.003502265	0.046488397	S100A10:ADAMTS4:NDUFS2:ITPKB:RUVBL1:CSF2:IL13:ITPR3:DEF6:ZSWIM8:FURIN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ETS1_B
TF_targets	RTAAACA_FREAC2_01	915	26	0.003607437	0.04732108	RORC:POU2F1:MECOM:LPP:RP11-617D20.1:KLF3:IL21:WDR46:SCUBE3:BACH2:SCAF8:UHRF2:MRVI1:TMEM258:FEN1:RAB5B:STAT6:LRP1:TSPAN8:RORA:ERBB2:GRB7:ORMDL3:THRA:RAPGEFL1:RARA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/RTAAACA_FREAC2_01
KEGG	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	92	11	2.59E-07	4.81E-05	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2AJ:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:ACTN3:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS
KEGG	KEGG_JAK_STAT_SIGNALING_PATHWAY	153	13	1.18E-06	0.000109397	IL21:IL7R:IL3:CSF2:IL13:IL4:IL6:IL2RA:STAT6:IL4R:IL21R:CSF3:STAT5B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_JAK_STAT_SIGNALING_PATHWAY
KEGG	KEGG_HEMATOPOIETIC_CELL_LINEAGE	83	9	7.28E-06	0.000451065	IL7R:IL3:CSF2:IL4:IL6:IL2RA:IL4R:CSF3:ITGA2B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HEMATOPOIETIC_CELL_LINEAGE
KEGG	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	259	15	2.07E-05	0.000961221	TNFSF4:IL18R1:IL18RAP:IL21:IL7R:IL3:CSF2:IL13:IL4:IL6:IL2RA:IL4R:IL21R:CSF3:TNFRSF6B	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
KEGG	KEGG_HOMOLOGOUS_RECOMBINATION	28	4	0.000976334	0.032020372	RAD50:MUS81:RAD51B:RAD51	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HOMOLOGOUS_RECOMBINATION
KEGG	KEGG_NON_HOMOLOGOUS_END_JOINING	13	3	0.001032915	0.032020372	RAD50:FEN1:XRCC6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_NON_HOMOLOGOUS_END_JOINING
GO_mf	GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN	52	11	5.15E-10	9.13E-07	HIST2H4A:HIST2H4B:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H1T:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H1B:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:HIST4H4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN
GO_mf	GOMF_PROTEIN_DIMERIZATION_ACTIVITY	996	39	2.83E-07	0.000243272	HIST2H4A:HIST2H4B:S100A10:CADM3:ADORA1:SRGAP2:DPP4:CCDC66:ZBTB38:ACSL6:PDLIM4:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:GLDC:ALG2:EFEMP2:PRKRIR:CRYAB:HIST4H4:SPPL3:ABCB9:RILPL2:SMAD3:NSMCE1:NEUROD2:STARD3:ERBB2:IKZF3:STAT5B:HSD17B1:MLX:PHB:SMAD4:BCL2:XPNPEP3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_PROTEIN_DIMERIZATION_ACTIVITY
GO_mf	GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY	1646	54	4.12E-07	0.000243272	RERE:PEX14:RUNX3:RORC:POU2F1:BATF3:RUVBL1:ZBTB38:MECOM:KLF3:IRF1:SOX30:HIVEP1:ABT1:ZNF322:ZKSCAN8:ZSCAN31:ZKSCAN3:ZSCAN12:ZSCAN23:ZNF76:BACH2:HIVEP2:JAZF1:IKZF1:GATA3:MYRF:OVOL1:HDAC7:STAT6:SETD8:RCOR1:RORA:SMAD3:MED1:NEUROD2:IKZF3:THRA:NR1D1:RARA:STAT5B:MLX:PSMC3IP:ZNF652:PHB:SMAD4:KLF2:SIX5:FOXA3:ZNF217:ZGPAT:TEF:TOB2:WBP2NL	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY
GO_mf	GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY	282	18	7.84E-07	0.000347229	HIST2H4A:HIST2H4B:ADORA1:SRGAP2:HIST1H3A:HIST1H4A:HIST1H4B:HIST1H3B:HIST1H2BB:HIST1H3C:HIST1H4C:HIST1H2BC:HIST1H2AC:HIST1H2BE:HIST1H4D:HIST1H3D:HIST1H2AD:HIST1H2BF:HIST1H4E:HIST1H2BG:HIST1H3E:HIST1H4F:HIST1H3F:HIST1H3G:HIST1H2BI:HIST1H4H:HIST1H2AG:HIST1H4I:HIST1H2AH:HIST1H2BL:HIST1H2AI:HIST1H3H:HIST1H2BM:HIST1H4J:HIST1H4K:HIST1H2AK:HIST1H2AL:HIST1H3I:HIST1H4L:HIST1H3J:HIST1H2AM:ALG2:HIST4H4:NEUROD2:ERBB2:IKZF3:MLX:PHB:BCL2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY
